Publisher,PublicationType,PublicationTypeFHNW,Version,EmbargoAmount,EmbargoUnit,License,URL,Comments,Last Check
Association for Computing Machinery,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.acm.org/publications/openaccess#green,"Read&Publish Agreement: alle Beiträge mit Corresponding author von der ZHAW, die zwischen 01.06.2022-31.12.2025 akzeptiert/publiziert wurden/werden, können mit der VoR unter CC BY 4.0 zweitveröffentlicht werden.​ Prüfung auf Corresponding Author kann über ACM Dashboard erfolgen. Angabe des DOIs zur ""published Version"" in der ACM Digital Library​.",02.08.2024
Association for Computing Machinery (ACM),Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.acm.org/publications/openaccess#green,"Read&Publish Agreement: alle Beiträge mit Corresponding author von der ZHAW, die zwischen 01.06.2022-31.12.2025 akzeptiert/publiziert wurden/werden, können mit der VoR unter CC BY 4.0 zweitveröffentlicht werden.​ Prüfung auf Corresponding Author kann über ACM Dashboard erfolgen. Angabe des DOIs zur ""published Version"" in der ACM Digital Library​.",02.08.2024
ACM Press,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.acm.org/publications/openaccess#green,"Read&Publish Agreement: alle Beiträge mit Corresponding author von der ZHAW, die zwischen 01.06.2022-31.12.2025 akzeptiert/publiziert wurden/werden, können mit der VoR unter CC BY 4.0 zweitveröffentlicht werden.​ Prüfung auf Corresponding Author kann über ACM Dashboard erfolgen. Angabe des DOIs zur ""published Version"" in der ACM Digital Library​.",02.08.2024
ACM,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.acm.org/publications/openaccess#green,"Read&Publish Agreement: alle Beiträge mit Corresponding author von der ZHAW, die zwischen 01.06.2022-31.12.2025 akzeptiert/publiziert wurden/werden, können mit der VoR unter CC BY 4.0 zweitveröffentlicht werden.​ Prüfung auf Corresponding Author kann über ACM Dashboard erfolgen. Angabe des DOIs zur ""published Version"" in der ACM Digital Library​.",02.08.2024
AIP Publishing,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://publishing.aip.org/resources/researchers/rights-and-permissions/sharing-content-online/,Credit line: This content may be downloaded for personal use only. Any other use requires prior permission of the author and the publisher. This material originally appeared in (citation of published book) and may be found at (URL/link for published book/chapter online).,02.08.2024
AIP Publishing LLC,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://publishing.aip.org/resources/researchers/rights-and-permissions/sharing-content-online/,Credit line: This content may be downloaded for personal use only. Any other use requires prior permission of the author and the publisher. This material originally appeared in (citation of published book) and may be found at (URL/link for published book/chapter online).,02.08.2024
AIP,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://publishing.aip.org/resources/researchers/rights-and-permissions/sharing-content-online/,Credit line: This content may be downloaded for personal use only. Any other use requires prior permission of the author and the publisher. This material originally appeared in (citation of published book) and may be found at (URL/link for published book/chapter online).,02.08.2024
American Society of Civil Engineers,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://ascelibrary.org/author-center/rights-permissions#authors-material,Credit line: This material may be downloaded for personal use only. Any other use requires prior permission of the American Society of Civil Engineers. This material may be found at [URL/link of abstract in the ASCE Library or Civil Engineering Database].,02.08.2024
American Society of Civil Engineers (ASCE),Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://ascelibrary.org/author-center/rights-permissions#authors-material,Credit line: This material may be downloaded for personal use only. Any other use requires prior permission of the American Society of Civil Engineers. This material may be found at [URL/link of abstract in the ASCE Library or Civil Engineering Database].,02.08.2024
Bristol University Press,Buch,02 - Monographie,Accepted,36,Months,,https://bristoluniversitypress.co.uk/self-archiving,"Editors can supply the correct document version. This policy does not apply to textbooks, handbooks, edited collections, critical editions or reference works.",02.08.2024
Bristol University Press eBooks,Buch,02 - Monographie,Accepted,36,Months,,https://bristoluniversitypress.co.uk/self-archiving,"Editors can supply the correct document version. This policy does not apply to textbooks, handbooks, edited collections, critical editions or reference works.",18.06.2025
Bristol University Press,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://bristoluniversitypress.co.uk/self-archiving,"Credit line: This is a post-peer-review, pre-copy edited version of a chapter published in  [insert name of Bristol University Press/Policy Press book here]. The definitive publisher-authenticated version [insert complete citation information here] is available online at: [insert DOI link here].",02.08.2024
Bristol University Press eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://bristoluniversitypress.co.uk/self-archiving,"Credit line: This is a post-peer-review, pre-copy edited version of a chapter published in  [insert name of Bristol University Press/Policy Press book here]. The definitive publisher-authenticated version [insert complete citation information here] is available online at: [insert DOI link here].",18.06.2025
